slang,formal
aa,teriak
aaa,teriak
aaaa,teriak
aaaaa,teriak
aaaaaaa,teriak
aaaaaaakkk,kecewa
aaaaahhhh,kecewa
aaaahh,teriak
aaaammmiiiinnnn,amin
aaah,teriak
aaahh,kecewa
aaamin,amin
aab,sekarang
aacha,paman
aache,untuk
aadren,adren
aaghr,kecewa
aah,teriak
aahh,teriak
aajayege,sebel
aakuu,saya
aamien,amin
aamiiin,amin
aamiin,amin
aamiin ,amin
aamiinikutan,ikutan
aamiinin,amin
aamiinn,amin
aamiinnn,amin
aamin,amin
aaminikutan,ikut
aaminn,amin
aammiin,amin
aanjing,anjing
aapka,apakah
aapko,apa
aaraha,arahan
aarman,arman
aaron,aron
aarrgghh,kecewa
abah,ayahanda
abal,palsu
abam,ayahanda
abangg,abang
abanggg,abang
abanggku,abang
abangnya,abang
abcd,kosakata
abcdez,ocehan
abd,abdi
abeees,habis
abes,habis
abez,habis
abgnya,abang
abgnyaah,abang
abgpun,abang
abgxnsjnk,aneh
abgxnsnjk,remaja
abiez,habis
abiji,nilai
abis,habis
abisan,habis
abisin,habiskan
abisnya,habis
abiss,habis
abisss,habis
abisssss,habis
abistu,habis
abiz,habis
abizz,habis
abizzz,habis
abizzzz,habis
abritase,arbitrasi
abs,habis
abt,tentang
abuse,melecehkan
acan,akan
acaraâ bakal,acara
acaranya,acara
acasnyemil,cemilan
acau,kacau
acc,jadi
acceptable,diterima
acceptance,penerimaan
accepted,menerima
accepting,menerima
accny,persetujuannya
accord,sesuai
account,akun
achana,achana
achh,kecewa
achievement,penghargaan
acne,jerawat
acra,acara
acrylic,akrilik
act,tindakan
acting,akting
action,aksi
actually,sebenarnya
acut,akut
ad,ada
adaa,ada
adaaaa,ada
adain,mengadakan
adala,adalah
adalnya,asalnya
adapin,menghadapi
adapted,adaptasi
adatgorontalo,adat gorontalo
adatnye,adatnya
adatuh,ada itu
ade,adek
adeeek,adik
adeekk,adik
adekknya,adeknya
adekku,adik
adekx,adik
adel,adik
ademm,adem
adengan,adegan
adenya,adik
adenya ,adek
adenyaa,adek
adeuh,ngeluh
adeuhh,ngeluh
adh,mengaduh
adi,adik
adih,mengaduh
adiik,adik
adilan,keadilan
adjust,menyesuaikan
adkah,adakah
adl,adalah
adlah,adalah
adlh,adalah
ado,ada
adoh,aduh
adohh,aduh
adolexcent,remaja
adop,adopsi
ads,iklan
adsance,iklan
adsanve,iklan
aduch,aduh
aduhh,aduh
aduhhh,aduh
aduhhhhhhhhh,aduh
adult,dewasa
aduu,aduh
aduuh,aduh
aduuhh,aduh
aduuhhh,aduh
advertisements,iklan
advertorial,iklan
advisor,penasehat
adyem,adem
adzab,azab
adzan,azan
adzanin,azan
ae,saja
aee,saja
aelaah,kalah
aelah,kalah
aemoga,moga
aer,air
aesthetic,estentik
affiliate,afiliasi
affiliatekata,afiliasi
affordable,terjangkau
afternoon,siang
afternya,setelahnya
aga,agak
again,lagi
against,melawan
agalanya,segalanya
agamaâ,agama
agamany,agama
agamax,agama
agan,kawan
agency,agensi
aggaran,anggaran
aghh,marah
aghhhhh,marah
agiah,marah
aging,umur
agk,prasangka
agkya,prasangka
agm,agama
agma,agama
agnes,agnesmo
agnostic,agnostik
agnti,anti
agr,agar
agreement,perjanjian
agunh,agung
aha,tertarik
ahaha,ketawa
ahahaah,ketawa
ahahah,tertawa
ahahaha,ketawa
ahahahaa,ketawa
ahahahaha,tertawa
ahahahahaha,tertawa
ahahahahahaha,tertawa
ahahahahahha,tertawa
ahahahanjirrr,tertawa
ahahahha,tertawa
ahahha,tertawa
ahahhaha,tertawa
ahay,gembira
ahehehehe,tertawa
ahelah,kalah
ahemmm,berdeham
ahh,ketawa
ahhâ,ketawa
ahhahaha,ketawa
ahhahahha,ketawa
ahhh,ketawa
ahhhh,ketawa
ahihi,ketawa
ahir,akhir
ahirnya,akhirnya
ahlamdulillah,alhamdulillah
ahlikul,akhlak
ahlu,dia
